Stop,Boarders_MCRbound,Alighters_MCRbound,Boarders_BuryBound,Alighters_BuryBound,Boarders_all,Alighters_all,Total_Passengers,Month,Time,Date,Anomaly
Queens Road,9,1,2,5,11,6,17,April_16,Before  07:30,Saturday,0
Bury Interchange,254,0,0,320,254,320,574,April_16,AM Peak 07:30-09:30,Saturday,0
Radcliffe,158,9,61,28,219,37,256,April_16,AM Peak 07:30-09:30,Saturday,1
Whitefield,121,25,53,20,174,45,219,April_16,AM Peak 07:30-09:30,Saturday,1
Besses O'th'Barn,76,2,34,15,110,17,127,April_16,AM Peak 07:30-09:30,Saturday,1
Prestwich,68,23,36,24,104,47,151,April_16,AM Peak 07:30-09:30,Saturday,0
Heaton Park,45,12,41,29,86,41,127,April_16,AM Peak 07:30-09:30,Saturday,0
Bowker Vale,84,3,25,9,109,12,121,April_16,AM Peak 07:30-09:30,Saturday,1
Crumpsall,86,7,24,17,110,24,134,April_16,AM Peak 07:30-09:30,Saturday,1
Abraham Moss,28,11,8,26,36,37,73,April_16,AM Peak 07:30-09:30,Saturday,0
Queens Road,25,24,12,10,37,34,71,April_16,AM Peak 07:30-09:30,Saturday,0
Bury Interchange,1478,0,0,2334,1478,2334,3812,April_16,Off-peak 09:30-13:30,Saturday,0
Radcliffe,569,110,401,214,970,324,1294,April_16,Off-peak 09:30-13:30,Saturday,0
Whitefield,518,163,294,240,812,403,1215,April_16,Off-peak 09:30-13:30,Saturday,0
Besses O'th'Barn,235,51,154,99,389,150,539,April_16,Off-peak 09:30-13:30,Saturday,0
Prestwich,398,152,217,220,615,372,987,April_16,Off-peak 09:30-13:30,Saturday,0
Heaton Park,263,141,213,197,476,338,814,April_16,Off-peak 09:30-13:30,Saturday,0
Bowker Vale,259,43,106,79,365,122,487,April_16,Off-peak 09:30-13:30,Saturday,0
Crumpsall,304,75,94,103,398,178,576,April_16,Off-peak 09:30-13:30,Saturday,0
Abraham Moss,172,58,58,115,230,173,403,April_16,Off-peak 09:30-13:30,Saturday,0
Queens Road,101,43,59,44,160,87,247,April_16,Off-peak 09:30-13:30,Saturday,0
Bury Interchange,1380,0,0,1225,1380,1225,2605,April_16,13:30-15:59,Saturday,0
Radcliffe,243,130,154,280,397,410,807,April_16,13:30-15:59,Saturday,0
Whitefield,258,180,201,275,459,455,914,April_16,13:30-15:59,Saturday,0
Besses O'th'Barn,96,96,92,112,188,208,396,April_16,13:30-15:59,Saturday,0
Prestwich,199,113,134,180,333,293,626,April_16,13:30-15:59,Saturday,0
Heaton Park,219,101,115,164,334,265,599,April_16,13:30-15:59,Saturday,0
Bowker Vale,143,48,56,129,199,177,376,April_16,13:30-15:59,Saturday,0
Crumpsall,157,62,45,146,202,208,410,April_16,13:30-15:59,Saturday,0
Abraham Moss,137,45,44,101,181,146,327,April_16,13:30-15:59,Saturday,0
Queens Road,54,40,40,47,94,87,181,April_16,13:30-15:59,Saturday,0
